Id,TotalLoan,Gender,Education,MaritalStatus,AgeGroup,HstPaySep15,HstPayAug15,HstPayJul15,HstPayJun15,HstPayMay15,HstPayApr15,BillSep15,BillJun15,BillApr15,PaySep15,PayAug15,PayJul15,PayJun15,PayMay15,PayApr15,DefaultPayment
55,150000,2,1,2,2,2,0,0,0,0,0,46224,26518,16540,1600,1718,1049,1500,2000,5000,0
56,500000,2,1,1,5,-2,-2,-2,-2,-2,-2,1905,0,2530,3640,162,0,151,2530,0,0
57,180000,2,3,1,3,0,0,0,-1,-1,-1,16386,7142,8321,8500,1500,7500,679,9000,2000,0
58,180000,2,2,1,3,0,0,0,0,0,0,175886,168608,129918,8083,7296,5253,4814,4816,3800,0
59,200000,2,1,2,3,-1,3,2,2,2,2,1587,1166,1414,0,0,700,0,1200,0,0
60,400000,2,2,1,2,0,0,0,0,0,0,400134,360199,364089,17000,15029,30000,12000,12000,23000,0
61,500000,2,3,1,2,0,0,0,0,0,0,22848,14937,15571,1516,1300,1000,1000,2000,2000,1
62,70000,1,2,1,4,0,0,0,0,0,-1,70800,16518,830,4025,2095,1000,2000,3000,0,0
63,50000,1,1,2,2,2,2,2,2,2,2,24987,25865,28264,0,2700,0,2225,1200,0,1
64,50000,2,2,1,5,0,0,0,-2,-2,-2,28718,0,0,1000,0,0,0,0,0,1
65,130000,2,2,1,6,-1,-1,-2,-2,-1,-1,99,0,0,0,0,0,2353,0,0,0
66,200000,1,1,1,7,-2,-2,-2,-1,2,2,152519,8174,7918,0,0,8222,300,0,1000,1
67,10000,1,2,1,7,2,2,2,0,0,0,2097,4062,4326,2300,0,150,200,200,160,1
68,210000,2,1,2,2,2,-1,-1,-1,-1,-1,300,2280,4250,300,1159,2280,300,4250,909,0
69,130000,2,3,2,2,1,-2,-2,-1,2,-1,-190,10311,7319,0,0,20161,0,7319,13899,0
70,20000,1,4,2,1,2,0,0,0,0,0,18565,18085,5982,0,1200,1000,500,1000,0,0
71,80000,1,1,2,2,-1,-1,-1,-1,-1,-1,780,390,390,0,390,390,390,390,390,0
72,320000,1,2,2,2,2,2,2,2,2,2,58267,58622,63526,2500,2500,0,4800,2400,1600,1
73,200000,2,2,1,2,-1,-1,-1,-1,2,-1,9076,5247,3151,5818,15,9102,17,3165,1395,0
74,290000,2,1,2,3,1,-2,-1,-1,-1,-1,0,0,0,0,3155,0,2359,0,0,0
75,340000,1,1,2,2,-1,-1,-1,-1,-1,-1,3048,4291,25820,5713,23453,4314,80552,25949,2016,0
76,20000,1,2,2,1,0,0,2,0,0,0,14619,16976,18543,2850,0,610,630,1500,0,0
77,50000,1,3,2,1,-1,0,0,0,0,0,42838,9636,10030,1759,1779,320,500,1000,1000,0
78,300000,2,1,1,5,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,0
79,30000,2,2,2,1,0,0,0,0,0,0,28387,28004,6411,1686,1400,560,3000,1765,0,1
80,240000,2,2,2,4,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
81,470000,2,3,3,3,0,0,0,0,0,0,165254,69923,29889,6400,7566,3000,960,1000,3000,0
82,360000,2,1,2,1,0,0,0,0,0,-1,23411,33100,196,4796,3400,3100,146900,196,2963,0
83,60000,1,3,2,2,0,0,0,0,0,0,26324,21993,19771,1576,1213,648,768,1140,0,1
84,400000,2,2,1,4,0,0,2,0,0,0,131595,104430,94058,10700,3,3050,3000,3200,2800,0
85,50000,2,3,2,5,0,0,0,0,0,0,48909,20414,19482,1676,1302,700,699,849,826,0
86,160000,1,2,2,3,0,0,0,0,0,0,130028,118418,120418,4400,3547,80000,4500,4800,4500,0
87,360000,2,1,1,5,-1,-1,2,0,-1,-1,390,390,390,1170,0,0,390,390,390,1
88,160000,2,2,2,2,0,0,0,0,0,-1,3826,8604,766,1147,2000,2000,0,766,2303,0
89,130000,2,1,1,3,0,0,0,-1,-1,-1,81313,1330,1190,40000,5000,1330,7095,1190,2090,0
90,20000,1,3,2,4,2,2,0,0,0,2,8583,10488,11970,0,1651,1000,2000,0,1500,0
91,200000,1,1,1,6,2,2,2,2,2,2,138180,144098,149531,6300,5500,5500,5500,5000,5000,1
92,280000,2,1,2,4,-1,-1,-1,0,0,-2,7524,3868,0,0,3968,0,0,0,0,0
93,100000,2,1,2,2,-2,-2,-2,-2,-2,-2,-2000,0,0,7555,0,0,0,0,0,0
94,160000,2,2,1,3,-1,-1,-1,-1,-1,-2,880,840,0,1602,840,840,0,0,7736,0
95,60000,2,2,2,1,0,0,0,0,0,0,45648,19595,19323,1937,1301,682,690,816,835,0
96,90000,1,2,2,3,0,0,0,0,0,0,83725,35565,30835,3621,3597,1179,1112,1104,1143,0
97,360000,1,1,1,4,-1,-1,-1,-1,-1,0,3967,6451,9956,8339,3394,12902,27000,0,68978,0
98,150000,1,1,2,2,0,0,0,0,0,0,86009,89775,40788,4031,10006,3266,4040,1698,800,0
99,50000,2,3,1,1,0,0,0,0,0,0,18722,13150,7899,1411,1194,379,281,321,197,0
100,20000,1,2,1,3,0,0,0,0,0,-1,17973,18240,150,1699,1460,626,1750,150,0,1
101,140000,1,1,2,2,-2,-2,-2,-2,-2,-2,672,415,1430,10212,850,415,100,1430,0,0
102,380000,2,1,2,2,-2,-2,-1,0,0,0,-81,32891,34056,223,33178,1171,1197,1250,5000,0
103,480000,1,1,1,8,0,0,0,2,2,0,422069,487066,469961,16078,55693,17000,0,18000,24200,0
104,50000,2,3,2,1,0,0,0,0,0,0,44698,32496,24094,1767,1362,1002,840,995,904,1
105,60000,2,2,2,1,2,2,2,2,2,0,56685,60218,55305,0,5000,2511,6,3000,3000,0
106,70000,2,2,2,1,-1,-1,-2,-2,-2,-1,5580,0,26529,0,0,0,0,26529,2000,0
107,80000,2,2,1,3,-1,-1,-1,-1,-1,-1,6108,3319,1150,2861,3279,3319,1150,1150,1035,0
108,350000,1,1,2,6,-1,-1,-1,-1,-1,-1,713,867,5263,2272,722,867,1150,5263,5011,0
109,130000,1,2,2,3,0,0,0,-1,-1,-1,171438,120483,126568,10908,0,133657,4566,133841,4796,0
110,360000,1,2,1,3,1,-2,-2,-2,-2,-2,-103,-103,-103,0,0,0,0,0,0,0
111,330000,2,1,1,2,0,0,2,0,0,0,105879,105896,107289,9260,0,3593,4100,15794,0,0
112,50000,1,3,1,5,0,0,2,0,0,0,13244,15928,17393,2000,1000,1000,1000,1000,1000,0
113,280000,1,2,1,4,2,2,2,2,2,3,135673,144401,149415,6500,0,14254,14850,0,5000,0
114,100000,2,1,2,1,0,0,0,0,0,0,52128,56076,59713,2000,2677,3076,5080,3000,2033,0
115,50000,1,2,2,4,0,0,0,0,0,0,19015,20274,19957,1340,1305,700,718,724,684,0
116,30000,1,1,2,1,-1,2,0,0,3,2,18199,21319,21201,0,1312,3000,0,1000,1000,1
117,240000,1,1,2,2,-1,-1,-1,-1,-1,-1,326,5676,326,326,326,5676,476,326,526,0
118,80000,1,2,2,1,2,0,0,0,0,0,14029,17055,18186,2000,1700,1000,1000,1000,1000,1
119,400000,1,2,1,3,-1,-1,-1,-1,-1,-1,19660,7839,7959,9677,11867,7839,14837,7959,5712,0
120,240000,2,2,2,3,0,0,0,0,-1,-1,50254,52479,1203,2000,3000,3000,1307,1203,563,0
121,50000,1,3,2,3,2,2,2,3,2,2,46004,48851,51143,1000,4035,1000,1400,2800,0,1
122,450000,1,1,1,4,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
123,110000,2,1,1,5,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
124,310000,2,2,1,3,2,0,0,0,0,0,304991,258610,198889,13019,11128,8407,8599,6833,5987,1
125,20000,1,1,2,2,0,0,0,0,0,0,19115,19378,15630,1404,1130,600,861,313,0,0
126,20000,1,2,2,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
127,200000,1,3,2,6,0,0,0,0,0,0,110151,100914,104993,3568,3585,3602,3848,3669,3784,0
128,180000,1,1,1,3,0,0,0,0,0,0,163736,95766,95927,4655,2690,2067,2142,2217,1000,1
129,50000,1,2,1,6,0,0,0,0,0,0,3347,5347,7077,1000,1066,1300,1500,1200,134,1
130,60000,1,3,1,6,3,2,2,0,0,0,60521,28853,26547,2504,7,1200,1200,1100,1500,0
131,30000,2,1,2,1,1,-2,-2,-2,-1,-1,4000,-27,5906,5645,3508,27,13771,5911,3024,0
132,240000,1,1,2,4,1,-1,-1,0,0,-1,95,3164,1737,2622,3301,0,360,1737,924,0
133,420000,1,2,1,3,0,0,0,0,0,0,253454,220951,188108,9744,9553,7603,7830,7253,11326,0
134,330000,1,3,1,5,0,0,0,0,0,0,227389,227587,228203,8210,8095,8025,8175,8391,8200,0
135,30000,2,2,2,1,0,0,0,0,0,0,28452,25350,-780,2000,1400,0,500,0,1560,0
136,240000,1,2,1,3,0,0,0,2,2,2,10674,13269,13891,1500,1800,0,1000,0,327,0
137,150000,1,1,2,2,0,0,0,0,0,0,17444,24614,30229,2500,3000,3000,3000,3500,5000,0
138,210000,2,2,1,3,0,0,0,0,0,0,7166,9189,5708,1500,1500,1000,500,2000,546,0
139,50000,2,3,1,6,-1,-1,-1,-1,-2,-2,752,0,0,300,5880,0,0,0,0,1
140,50000,1,1,2,1,0,0,0,0,0,0,50801,19430,18995,2360,1700,1000,900,870,2130,0
141,240000,1,1,2,5,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
142,180000,1,2,2,2,-1,-1,-1,-1,-1,-1,1832,332,416,0,416,332,500,3500,832,0
143,50000,1,2,2,1,1,2,2,2,0,0,10131,19996,18065,1000,10000,400,700,800,600,0
144,170000,1,2,2,2,-2,-2,-2,-2,-2,-2,12159,10000,15846,10000,10000,10000,9983,15863,10000,0
145,20000,1,1,2,2,-1,-1,-1,-1,0,-1,1199,2340,339,15586,344,2340,4702,339,330,0
146,50000,1,1,2,2,0,0,0,0,0,3,4999,9195,10138,1000,1500,2000,1583,1100,0,0
147,170000,2,2,2,2,0,0,0,0,0,0,19269,17560,9100,1661,1200,351,358,182,0,1
148,200000,1,1,2,3,1,2,0,0,0,0,197236,135668,59875,8000,5000,55500,5000,5000,8500,0
149,80000,2,2,1,1,1,2,3,2,0,0,9168,9898,12034,1650,0,0,379,2091,1,0
150,260000,2,1,1,7,1,-2,-1,-1,-1,-1,-1100,0,869,0,22500,0,969,1000,0,0
151,140000,1,2,1,2,0,0,0,0,2,0,86627,64648,55251,3455,3110,5000,0,2100,2602,0
152,80000,1,1,2,1,0,0,0,0,0,0,42444,41087,31826,30000,3000,6000,8000,2000,14000,0
153,350000,1,1,2,4,1,-1,-1,-1,-1,-2,208,630,0,2906,1000,630,0,0,0,0
154,280000,2,2,1,7,0,0,0,0,0,0,208775,101783,169311,8042,6700,5137,100000,7000,6321,0
155,30000,2,3,2,1,0,0,0,0,0,0,9014,11935,14206,1700,1500,1000,1500,1500,1500,0
156,140000,1,1,1,3,0,0,0,0,0,0,23944,43129,48699,5000,5000,11885,5000,3000,5504,0
157,200000,2,1,2,3,0,0,0,0,0,0,105420,90938,94031,4000,3250,3250,3500,3560,5000,0
158,200000,2,3,2,2,0,0,0,0,0,0,196031,167163,122324,7300,7108,7680,6200,5000,4500,0
159,210000,1,3,1,5,2,3,4,4,5,6,115785,137277,154105,10478,10478,11078,11078,11678,10478,1
160,50000,1,3,1,7,3,2,0,0,0,0,12854,13427,14083,0,1600,500,500,600,600,0
161,30000,1,1,2,4,2,2,2,2,2,0,24357,28168,28321,3500,0,2200,0,1200,1250,0
162,50000,1,2,2,2,2,-1,-1,-1,-1,2,390,216,540,390,780,216,864,0,390,0
163,290000,1,3,1,5,-1,-1,-1,-1,0,-1,1234,792,423,396,396,792,0,423,369,0
164,250000,2,1,1,3,0,0,2,0,0,0,141223,152803,160220,17994,0,5469,5656,6811,3920,0
165,60000,2,2,1,5,0,0,0,0,0,0,21148,26034,27756,3000,1500,1500,1000,1500,1500,0
166,110000,2,1,2,2,0,0,0,0,0,0,101640,74737,77254,5500,3900,3000,2900,3000,2800,0
167,370000,1,1,2,6,-2,-2,-2,-2,-2,-2,6093,15398,13453,15383,8204,15413,4792,13453,4699,0
168,100000,1,2,1,2,-1,2,2,0,0,0,102349,29336,-246,3166,0,1330,1398,12,50000,0
169,90000,2,2,1,3,0,0,0,0,0,2,72112,77317,88290,3500,3500,3652,10000,4000,0,0
170,50000,2,2,2,1,0,0,0,0,0,0,28040,27737,28806,1510,1442,982,1017,1277,567,0
171,270000,1,2,2,3,0,0,0,0,0,0,37695,27598,24641,5000,2000,3000,4000,3000,2000,0
172,300000,2,1,2,2,-1,-1,-1,-1,-1,-1,688,4340,800,3288,0,4340,2672,800,746,0
173,50000,2,2,2,1,-1,0,0,0,0,0,8567,7457,7725,15000,1000,149,0,5000,10000,0
174,50000,2,1,2,1,1,-2,-2,-2,-2,-2,-709,-2898,-3272,0,0,0,0,0,0,1
175,360000,1,1,2,2,1,-2,-1,-1,-2,-2,0,0,0,0,77,0,0,0,0,0
176,130000,1,3,1,7,1,2,2,2,2,3,64617,68557,71345,3000,3000,3000,5500,0,0,1
177,80000,1,1,2,2,-2,-1,0,0,0,0,6187,1438,5380,504,500,1000,500,3500,0,0
178,50000,1,2,2,2,1,2,0,0,0,2,48860,30221,22361,0,1500,1000,2000,0,2000,0
179,20000,2,2,2,1,0,0,0,0,0,0,16001,13130,14906,1212,1201,500,1500,1500,1000,0
180,80000,2,2,1,2,0,0,2,0,0,0,77883,61467,11486,5800,1000,600,400,1000,0,0
181,240000,1,1,2,3,-1,-1,2,0,0,-1,12212,26605,1256,15000,0,2000,0,1256,65935,0
182,80000,2,3,2,3,0,-1,0,0,0,0,49608,17364,17460,12500,6500,3000,2000,3000,2000,0
183,500000,2,1,1,5,0,0,0,0,0,0,56422,122967,70064,70010,30357,30000,20000,52183,20000,0
184,60000,2,2,1,1,0,0,0,0,0,0,58024,18971,19395,2500,1600,3000,1000,737,2000,1
185,20000,1,2,2,1,0,0,0,0,0,-1,10642,12280,1620,1200,1593,601,135,1824,0,0
186,100000,2,2,1,3,1,2,0,0,2,0,14483,16268,16448,0,1600,1500,0,1000,1500,1
187,360000,2,1,2,2,1,-1,-1,-1,-1,-1,2616,68445,16240,57087,5295,68454,13889,16250,38313,0
188,200000,2,3,2,5,2,2,2,2,2,2,199436,196186,189915,8214,7000,6800,7134,0,6836,1
189,130000,2,2,1,3,1,-1,0,0,0,0,0,13576,14636,5396,5000,3500,501,1000,2000,0
190,20000,2,2,2,2,1,5,4,4,3,2,21703,20835,20487,0,1000,0,0,760,0,0
191,310000,1,1,2,2,0,0,0,0,0,0,59901,65875,43328,10020,6031,10057,5028,5060,4223,0
192,60000,2,1,2,2,2,0,0,0,2,0,19625,23005,22873,1342,1664,2000,0,900,846,1
193,180000,2,1,2,2,-1,-1,-1,-2,-1,0,11386,0,17042,199,0,0,17227,341,5114,0
194,180000,2,1,2,1,-1,-1,2,0,0,-2,14670,10200,0,37867,0,200,0,0,0,0
195,50000,1,2,1,3,0,0,0,0,-1,-1,47790,-14,658,2000,1000,2000,500,1000,20011,0
196,50000,2,1,2,1,1,2,2,2,2,2,36166,38462,40035,1900,1400,1700,1532,1600,0,1
197,150000,2,2,1,3,-2,-2,-2,-2,-2,-2,0,116,1500,0,0,116,0,1500,0,0
198,20000,2,1,2,1,0,0,0,0,-1,0,18553,8332,19247,1500,1032,541,20000,693,1000,0
199,500000,2,1,1,3,-2,-2,-2,-1,-1,-1,412,1251,1151,138,2299,1251,1206,1151,15816,0
200,30000,2,3,2,1,1,2,2,0,0,0,29010,29836,0,1000,85,1714,104,0,0,1
201,180000,2,1,1,3,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0
202,140000,1,1,2,2,0,0,2,0,0,2,27123,20225,10833,25000,0,3000,7800,0,2500,0
203,140000,2,1,2,1,-1,0,-1,-1,-1,-1,13424,5818,487,10000,13001,5841,13506,487,7004,0
204,120000,1,2,2,1,0,0,0,0,0,0,107314,116000,122135,5000,5000,4152,5000,5000,5000,0
205,360000,2,2,1,5,0,0,0,0,0,0,226430,190211,146511,9100,7300,5800,5600,5600,4100,0
206,20000,1,3,1,4,-1,-1,0,0,0,0,227,19339,19337,22359,1305,1258,1459,3457,1700,0
207,100000,1,1,1,5,-1,-1,-1,-1,-1,-1,390,390,0,1473,390,390,390,0,2380,0
208,210000,2,2,1,4,-1,-1,-1,-1,-1,-1,3088,3763,0,1586,343,3763,877,0,419,1
209,80000,2,2,2,1,0,0,0,0,0,0,81625,49552,49568,3200,3000,2038,2000,1800,1800,1
210,330000,2,1,1,6,-1,-1,-1,-1,-2,-2,8872,1690,1709,4345,2854,1702,0,1709,258,0
211,220000,1,1,2,1,0,0,0,-1,-1,-1,105607,8303,85632,5000,5050,8303,0,85632,0,0
212,210000,2,1,1,3,1,-2,-1,0,-1,-1,0,123,1222,0,250,0,789,1222,9616,1
213,40000,2,3,1,4,0,0,0,0,0,0,38257,36207,31339,1700,1504,1200,1500,1500,1000,0
214,30000,1,2,2,4,0,0,0,2,0,0,28347,12992,8032,3036,2309,0,1000,2000,148,0
215,470000,1,2,2,2,2,2,2,2,0,0,296573,479978,309959,13000,11001,0,10484,10838,10367,0
216,30000,1,3,1,4,-1,-1,-1,-1,-1,2,390,240,780,390,390,240,1470,0,0,0
217,240000,2,2,1,3,1,-2,-2,-2,-2,-2,-946,-946,-946,0,0,0,0,0,0,1
218,80000,1,2,2,3,2,0,0,0,0,0,79278,80016,78245,3100,3500,3400,3000,3500,3000,0
219,110000,2,3,3,2,0,0,0,0,0,0,89989,73315,63208,4000,5000,3000,3000,3000,8954,0
220,310000,2,1,2,3,-1,-1,-1,-1,-2,-2,1424,0,0,4542,126,0,0,0,0,0
221,360000,2,1,1,4,2,2,2,0,0,0,105167,114690,120238,12000,0,5900,5000,4500,4700,1
222,330000,2,3,2,5,0,0,0,0,0,0,335196,333860,330121,12388,12378,12116,12450,12213,11678,0
223,300000,2,2,2,3,0,0,0,0,0,0,291619,215827,212508,12019,9006,17000,12000,9557,15000,0
224,320000,2,2,2,3,0,0,0,0,0,0,91653,65913,33263,10042,18832,2117,2076,5045,3754,0
225,50000,2,3,2,3,1,3,2,0,0,0,52626,30394,29957,0,24,1500,1000,1201,30592,1
226,170000,2,1,2,2,0,0,0,0,0,0,130370,125514,128839,6530,4860,22500,4820,4877,4962,0
227,350000,1,3,1,4,-1,-1,-1,-1,-1,-2,3265,569,0,2686,1864,569,0,0,0,0
228,20000,1,2,1,3,0,0,0,0,0,0,16455,18768,19175,1609,3000,663,676,834,782,0
229,50000,1,2,2,1,2,0,0,0,0,0,49758,21247,18858,2401,2254,2004,704,707,1004,1
230,20000,2,3,2,1,1,2,0,0,0,0,19154,7630,0,0,1333,500,100,0,3200,0
231,50000,2,1,2,1,0,0,0,0,0,0,35084,19420,1308,2090,2002,1002,238,1011,389,0
232,20000,1,2,2,1,1,2,0,0,2,0,20235,16875,10104,0,1200,1000,0,1000,10000,1
233,50000,1,2,1,1,0,0,-2,-1,-1,0,102800,2624,46557,0,0,2624,45567,1747,2000,0
234,190000,1,2,2,3,2,0,0,0,2,2,129801,142323,150052,5000,5000,10000,0,12118,2769,1
235,60000,2,2,1,3,0,0,0,0,0,0,58203,20694,19421,1506,1298,1000,721,811,599,0
236,80000,1,1,2,3,-1,-1,-1,-1,-1,-1,7988,1719,19942,3983,6853,1719,1378,19942,2418,0
237,150000,2,2,2,2,0,0,0,0,0,0,127402,44384,29497,4500,1745,1566,1208,1077,2529,0
238,210000,2,1,2,2,-2,-2,-2,-2,-1,-1,1440,893,2293,0,7422,893,6082,2293,3299,0
239,240000,2,3,1,6,0,0,0,0,0,0,234205,207642,214694,10116,9150,8008,8000,8009,7714,1
240,140000,2,2,3,4,0,0,0,0,0,0,19346,19068,16383,3000,2000,2198,1000,3000,2399,1
241,60000,2,1,2,2,1,2,2,-2,-2,-1,21501,0,2285,0,0,0,0,2285,0,0
242,50000,1,1,2,4,0,0,0,0,0,0,47174,50803,15874,1800,2000,3000,2000,2000,2000,0
243,50000,2,2,2,2,0,0,0,0,0,0,26655,27990,29399,1800,1750,900,1200,1200,1100,0
244,180000,2,1,2,2,-1,-1,2,2,-1,-1,3139,0,0,2821,0,0,2821,0,176,0
245,30000,2,1,2,4,-1,-1,2,2,2,2,142,19,79,355,120,0,0,60,60,0
246,20000,2,2,2,4,0,0,0,0,0,-2,19816,19575,0,1601,2203,2114,0,0,0,0
247,250000,2,2,1,10,0,-1,-1,-1,-1,-1,52874,1010,794,1631,1536,1010,5572,794,1184,0
248,100000,2,2,2,2,0,0,0,0,0,0,37767,30337,32904,1788,1799,1100,1150,2423,0,0
249,330000,1,1,2,1,0,0,0,0,2,0,46140,51137,25358,2504,4007,5056,74,1023,2566,0
250,50000,1,3,1,5,0,0,0,0,0,0,35713,16418,17484,1561,1268,587,611,1000,2000,0
251,50000,2,2,2,1,1,2,2,0,0,0,50867,30115,29998,1710,136,1206,2002,2005,3003,0
252,30000,1,2,2,2,0,0,0,0,0,0,29242,25255,0,5006,1244,851,955,0,0,0
253,140000,2,2,2,1,0,0,0,0,0,0,101551,105334,106828,5366,5087,3605,3894,3785,3304,1
254,160000,2,1,2,2,0,0,0,0,-1,0,70243,7222,84426,7042,2000,1000,99669,12600,10000,0
255,400000,2,2,2,2,-1,0,-1,-1,-1,-1,19532,4944,2486,3127,1469,4968,1905,2494,862,0
256,50000,1,2,1,1,0,0,0,0,0,0,27699,29928,28538,1565,1393,980,994,1024,886,0
257,140000,2,2,1,5,0,-1,-1,-1,-1,-1,1154,1355,21361,1233,1075,1355,1130,21361,1347,0
